type_of_reference,authors,primary_title,title,publication_year,year,abstract
CONF,"N. G. Pasaribu, G. Budiman, I. D. Irawati",,Image-Based Essay Scoring Deep Learning Using a CNN Model GoogLeNet,29-30 Aug. 2024,2024,"Automatic essay assessment is a crucial aspect of evaluating students' academic performance, but the manual grading process by educators is often time-consuming and subjective. This paper proposes using a deep learning application for automatic essay assessment by leveraging GoogLeNet Convolutional Neural Network(CNN) for handwriting analysis. The system aims to alleviate the workload of educators by allowing them to upload answer sheets for automatic grading. Students can access their results through a separate application. The system is designed to handle various handwriting styles through a preprocessing stage that involves cleaning answer sheets, extracting answer boxes, and removing empty spaces. Labelled data is then used to train the GoogLeNet model, which analyzes the answer sheets and provides scores based on student data containing 12 answer keys. The final scores are returned to students via the application. This study employs a 60 % and 40 % ratio for testing and training data, which yielded the best performance after experimenting with other ratios. Additionally, experiments were conducted to optimize hyperparameters, resulting in a learning rate of 0.002, Adam optimizer, and batch size of 32. Grading was performed for each question number, as they have different datasets, with an average accuracy of 85%. The lowest result was obtained for question 3b with a percentage of 45.83 %, while the highest result for question 3c was 100%. In conclusion, the use of GoogLeNet CNN for automatic essay assessment shows significant potential for improving the efficiency and accuracy of academic grading, although accuracy still varies across different question numbers."
CONF,"A. A. P. Ratna, N. A. Wulandari, A. Kaltsum, I. Ibrahim, P. D. Purnamasari",,Answer Categorization Method Using K-Means for Indonesian Language Automatic Short Answer Grading System Based on Latent Semantic Analysis,22-24 July 2019,2019,"The Automatic Short Answer Grading (Simple-O) has been created for grading short answer with Bahasa Indonesia using K-Means and Latent Semantic Analysis (LSA) method. In this experiment, the text document feature will be extracted using Term Frequency-Inverse Document Frequency (TF-IDF) and then classified using K-Means. From the experiment, 149 documents are expected to be clustered into five classes. The result of the clustering using K-Means is 100% matched with clustering using human rater. The result of grading with LSA is 74%."
JOUR,H. A. Abdeljaber,,Automatic Arabic Short Answers Scoring Using Longest Common Subsequence and Arabic WordNet,2021,2021,"The manual process of scoring short answers of Arabic essay questions is exhaustive, susceptible to error and consumes instructor's time and resources. This paper explores longest common subsequence (LCS) algorithm as a string-based text similarity measure for effectively scoring short answers of Arabic essay questions. To achieve this effectiveness, the longest common subsequence is modified by developing weight-based measurement techniques and implemented along with using Arabic WordNet for scoring Arabic short answers. The experiments conducted on a dataset of 330 students' answers reported Root Mean Square Error (RMSE) value of 0.81 and Pearson correlation r value of 0.94. Findings based on experiments have shown improvements in the accuracy of performance of the proposed approach compared to similar studies. Moreover, the statistical analysis has shown that the proposed method scores students' answers similar to that of human estimator."
CONF,"A. A. S. Mukti, S. A. I. Alfarozi, S. S. Kusumawardani",,Transformers Based Automated Short Answer Grading with Contrastive Learning for Indonesian Language,26-27 Oct. 2023,2023,"The rapid development of technology has impacted various sectors, including education. These developments have enabled e-Learning to thrive, especially during the Covid-19 pandemic. Evaluating student performance and understanding in e-Learning is typically done through quizzes. However, these evaluations, especially in essay grading, still require manual effort. This can lead to exhaustion and introduce bias and inconsistency into the scoring process. To address this issue, one possible solution is to develop an automated short-answer grading system. This research explores large language model that has a general understanding of language. This model is then subjected to a finetuning process. Specifically, this study employs BERT model, with contrastive learning method to develop an automated short-answer scoring system and compare its performance with similar systems. The model is composed of two components, namely the model body which utilizes BERT variation and the model head which employs logistic regression. The model body is structured in a siamese architecture. The results demonstrate an improvement in model performance of BERT model with constrastive learning. When compared to the pretrained BERT and BERT with cosine similarity finetuning, the reduction in prediction MAE is 21.72% and 9.90%, while for the RMSE metric, it is 17.79% and 13.80%. The transformers-based model with contrastive learning achieves metrics of 0.191 for MAE and 0.231 for RMSE. These findings indicate the potential of using the contrastive learning method in transformers models to develop an automated short-answer scoring system."
CONF,"S. S. Ibrahim, E. F. Elfakharany, E. Hamed",,Improved Automated Essay Grading System Via Natural Language Processing and Deep Learning,27-28 Oct. 2022,2022,"In order to evaluate students’ total skills, educators repeatedly utilize questions based on free text to evaluate students’ total skills. Yet, when correction is done manually errors occur in addition to long time periods used, hard work, high costs and different opinions as to how to correct papers, a single paper is corrected by multiple people to avoid partiality. Thus, the smart system for automatic grading can solve the problem. Here, we present a very advanced system for grading essays automatically. This is based on Natural Language Processing and Deep Learning technologies. Thus, we need a system to automatically grade essays with low costs, less time and more accurate scores. We need thus an inelegant system for correcting essay questions on an automatic basis. We introduced a method which encodes essays in the form of sequential embeddings. We then use a long Short Term Memory Network (LSTM) working in two directions in order to register semantic information. This method also focuses concentration on each essay in order to be taught how to focus on those materials which are authentic in articles. We can also thus get a good proof of the result of prediction. This BI LSTM may be utilized also to produce neural networks which have the sequence information in the two directions: from the future to the past (backwards) or vice versa, which is called Bidirectional Long Short-Term Memory (BI-LSTM) (past to future). In order to train and test, we utilized the popular set of essays presented in the Automated Student Assessment Prize by Kaggle. The smart system used for automatic grading, in our research, predicts grades in an up-to-date manner. Moreover, the smart system for autograding we have proposed has the ability to highlight important words and sentences, evaluate the logical relationships in meaning in a sentence and gives us in advance grades that can be explained."
CONF,"V. Sreevidhya, J. Narayanan",,Short descriptive answer evaluation using word-embedding techniques,6-8 July 2021,2021,"The score given for short answers may vary from instructor to instructor. There are many short answer grading and essay grading systems existing that are either automated or semi-automated. Automated grading systems reduce human effort, but no popular tool still exists. In this paper, we are focusing on short-answer grading systems. We use simple and effective methods to evaluate short descriptive student answers. The similarity between each student's answer with its model answer is evaluated using word embedding algorithms. The similarity score is used to calculate the score. The accuracy of the scores obtained in the case of each algorithm is calculated and analyzed method-wise."
CONF,"N. Noiyoo, J. Thutkawkornpin",,A Comparison of Machine Learning and Neural Network Algorithms for An Automated Thai Essay Quality Checking,28 June-1 July 2023,2023,"Checking the quality of essay writing in Thai language is still a complicated task because Thai language is very complex language in terms of punctuation, sentence structure, word repetition, spelling, commenting, and reasoning in content. Therefore, checking the quality of an essay and scoring require the reviewer's skills in reading and interpreting that make long time to review. In addition, if in reviewing process using more than one reviewer, it might affect different quality checking standards. We collected essay in Thai language which is written by student who registered paragraph writing course from The Sirindhorn Thai Language Institute of Chulalongkorn University. This work implemented LSTM model, CNN model, BERT model and WangchanBERTa model to compare the effectiveness of checking the quality of Thai essay writing. Our experimental result shows that classification analysis compiled with WangchanBERTa can achieve high accuracy up to 90%. However, CNN model compiled with classification analysis can achieve high accuracy up to 87% while compiled with regression analysis can achieve high accuracy in the range 90%. In conclusion, the system that we proposed can predict the quality of Thai essays with high accuracy. Therefore, we recommended Wangchanberta model for classification problem and CNN model for regression problem."
CONF,"R. Johnsi, G. B. Kumar",,Digital Essay Assessment using Machine Learning Algorithms,4-5 April 2024,2024,"Essay are considered as the most prominent way in assessing the student performance. Manual grading of the essay are considered to be a hectic tasks for both students and instructors due to various reasons such as time consuming, prone to subjectivity, inconsistencies and lack of reliability may be influenced by biases, such as prior knowledge of the student or their back ground. The solution to all these problems has been rectified by using Automated Essay Scoring (AES) system. This technical paper proposes a novel AES system that utilizes various Machine Learning (ML) algorithms such as Linear Regression, Lasso Regression, Ridge Regression, Gradient Boosting Regression, Bayesian Regression, Elastic Net Regression, Random Forest Regression, Decision Tree Regression, Gaussian Process Regression, Support Vector Regression, Polynomial Regression, XG Boost regression and XGBoost with Polynomial Features and discovered that XGBoost with Polynomial features achieved the best results with an average Quadratic Weighted Kappa (QWK) value of 0.68."
CONF,"S. Riyanto, F. A. Lestari, C. Putri Riyanto, A. Ferdiansyah, E. Irfiani, A. H. Akbar Maulana Siagian, Sriyadi, F. B. Siahaan, N. Fitria Apriani",,Employing SBERT for Essay Assessment,9-10 Oct. 2024,2024,"Conducting exams is important not only to evaluate the performance of students but also to analyze that of learning process. However, it is not easy and even time consuming to assess exams, especially for essays. To address such issues, it is worthwhile to have a system that can help in assessing exams. In this study, we aim to develop an automated essay scoring system to assess essay exams in Cibinong Mechanical Vocational High School, Bogor, Indonesia. We utilize semantic similarity evaluation and syntactic analysis to enhance the evaluation system of the Cibinong Mechanical Vocational High School for essay answers. Specifically, we employ Sentence Bidirectional Encoder Representation from Transformer (SBERT) as our model. Our SBERT model results show that they could perform an automatic assessment as good as the conventional one in evaluating the essay exams. In particular, the average mean absolute error (MAE) between human assessment and SBERT one was 0.26. Then, the SBERT model is adopted to develop the automated essay scoring system to help Cibinong Mechanical Vocational High School staff assess their students’ exams."
CONF,"M. M. Saeed, W. H. Gomaa",,An Ensemble-Based Model to Improve the Accuracy of Automatic Short Answer Grading,8-9 May 2022,2022,"Since 1966 much research has been done on the automatic grading of student answers task, and it was divided into short answer grading and essay scoring. In this paper, on the short answer grading challenge, we are working with text similarity approaches that are being classified into string, semantic (corpus and knowledge-based), and embedding text similarity approaches are the three types of text similarity techniques. On the Texas data-structure data set, different experiments were examined individually before being merged to give a maximum correlation result of 0.65."
CONF,"X. Nyomi, L. Moccozet",,Anatomy of a large-scale real-time peer evaluation system,7-9 Nov. 2022,2022,"In the past decades, we have seen benefits from digital education tools to increase interaction and allow for more regular assessment of students’ knowledge. The existing suggestions are however limited in how comprehensively they can assess students’ production skills based on the taught syllabus. There are some endeavours in the area of automated essay scoring, automated short answer grading or similar methods which would provide feedback without necessarily providing a grade. In terms, of rapid in class feedback of open ended questions there aren’t many helpful solution for the population we want to help. More suggestions which focus on the people either evaluating or being evaluated is necessary. Given the pressures of teaching at scale, how can human-centered technology aid in the development of comprehensive evaluation methods? In this paper, we suggest and implement a method to conduct qualitative evaluations for large scale settings in the context of undergraduate education. To do this, we use word vectors to visualize what students think in response to a prompt."
CONF,V. Latypova,,Intelligent Decision Support System for Assessing Works with Free Response based on Production Model,14-16 June 2023,2023,"Works with free response are usually used in training, as well as in engineering education. These works assessment faces a lot of challenges, especially in conditions of online learning. The use of criteria system underlies the formation of a score for work with free response. In the case of works like essays the assessment can be made without the participation of expert-tutor by means of automated essay scoring systems. In the other cases his engagement is required, and the assessment takes place usually manually with the use of a rubric. This procedure is very long and labour-intensive for tutors, particularly with the large number of works, which are to be assessed as quickly as possible. The challenge is further amplified by iterativeness of assessment procedure which is typical, for example, to term papers, productive and pre-diploma practice reports actively used in engineering education when students are as close as possible to real tasks implementation. Another question arises, because work assessment is carried out without consideration for work correction characteristics, that is why a formed score is inaccurate. A student work with free response assessment model based on production model that takes into account the efficiency of work correction made by student, and whose application allows to ease the formation of a score for work with free response, is proposed in the paper. The assessment model is implemented in an intelligent decision support system, which was used in assessing pre-diploma practice reports in Ufa State Aviation Technical University during online learning."
CONF,"T. Dasgupta, G. K. Singh, L. Dey",,Style Augmented Transformer Architecture for Automatic Essay Assessment,10-13 July 2023,2023,"In this paper, we present a grammar and style aware transformer-based neural network for computing the quality of a text in an automatic essay-scoring task. The proposed model takes into consideration different grammatical error categories and discourse writing styles like, concreteness, uncertainty, conviction and commitment in text along with the pre-trained language models of a text document. We have evaluated the proposed model with the automated student assessment dataset. Our preliminary investigation shows that incorporating such stylistic vectors and grammatical error categories with the BERT based language model can give us a better understanding of improving the overall evaluation of the input essays."
CONF,"E. Amadea Tanaka, S. Christian, Anderies, A. Chowanda",,Evaluating Back Translation and Misspelling Correction Utilization on Indonesian AES,3-4 Sept. 2024,2024,"This paper aims to tackle the problem of Automatic Essay Scoring (AES), a method used to predict whether an answer is correct given a question based on the provided guidelines and criteria. AES helps teachers to score student answers based on the guidelines fed into the model, saving time and decreases the human-error rate. We had chosen the UKARA challenge dataset, an Indonesian binary classification dataset consisting of two different questions separated into two datasets A and B. Prior studies utilized a stacking approach with XGBoost and a Neural Network model, achieving F1-scores of 88.4% and 75.9% for problem A and B respectively. The latest study utilizing the UKARA dataset used SBERT sentence embeddings and a Neural Network model, resulting in F1-scores of 89.4% for problem A and 75.7% for problem B. Although the F1-score for problem A was satisfactory, the F1-score for problem B remained relatively low. Therefore, this research aim to improve the performance of problem B. This research also discusses the various data augmentation techniques that can be applied to the dataset, such as back translation and misspelling correction Peter Norvig method. Based on the latest research, we decided to use SBERT sentence embeddings and neural networks for the model. The experiment managed to improve the result for problem B with a maximum F1-score of 77.2% along with 89.7% for problem A."
CONF,"Y. Salim, V. Stevanus, E. Barlian, A. C. Sari, D. Suhartono",,Automated English Digital Essay Grader Using Machine Learning,10-13 Dec. 2019,2019,"Automatic essay grader is a program that is designed to grade an essay automatically. Some of automatic essay grader have been made using string kernel, word embedding and reinforced learning method. The objective of this research is to develop an application to help users in grading English digital essays. Grading is done based on 12 score features. Argumentative and narrative essays written by junior high school students are utilized as the dataset. By using XGBoost as the classifier, this research produces an automated essay grader with an average accuracy of 66.87%. Evaluation is conducted using 5-fold cross validation method."
CONF,"A. -R. Muhammad, A. E. Permanasari, I. Hidayah",,Personalized Recommendation of Study Materials Based on Automatic Short Answer Scoring Results,15-16 Oct. 2022,2022,"The results of automatic short answer scoring (ASAS) can be used to provide learning recommendations. However, previous studies on ASAS are focused on the quality of the scoring method, without considering giving feedback on the student performance in the exam sessions. Moreover, research on feedback in the learning activity is more concentrated on creating an adaptive learning process. Therefore, this study aims to combine the Automatic Short Answer Scoring method and an Automatic Recommendation System to create an adaptive feedback system that has the ability to personalize the recommendation of study materials for the student based on their exam result. This study uses a dataset of ten questions, including one reference answer per question. The experiment result shows the recommendation system gives the maximum similarity score at 0.8972, with the maximum average score for all questions is 0.801. Future studies may continue to examine a technique for automatically generating study materials from various resources."
CONF,"G. Lv, W. Song, M. Cheng, L. Liu",,Exploring the Effectiveness of Question for Neural Short Answer Scoring System,18-20 June 2021,2021,"Automatic short answer scoring is a significant branch in the field of Natural Language Processing. It can release teachers from the complicated correcting work. It is an effective method for students to recognize their knowledge weakness as well. With the development of neural network and deep learning, researchers have built many neural models to resolve the problem. To the best of our knowledge, no one uses question as a feature in neural models. Starting from human experience and common sense, we explore the effectiveness of incorporating question into neural models for short answer scoring. The experimental results show that, on average, our model gains 1.1&#x0025; improvement compared to the state-of-art model."
CONF,"P. Shweta, K. Adhiya",,Comparative Study of Feature Engineering for Automated Short Answer Grading,17-19 June 2022,2022,"Recent advancement in the field of Natural Language Processing (NLP) has shown promising results in numerous NLP applications. Automated Short Answer Grading (ASAG) is one of the challenging applications of NLP. Understanding the underlying context and semantics in text will help to evaluate short answer responses and predict the scores more similar to human evaluator. Training machine to understand the domain knowledge of courses and utilize the same for evaluation has demanded for more robust method to generate word vectors which are capable of understanding the meaning of words based on context. In this paper we have studied and experimented with already existing word vector generation techniques TF-IDF, word2vec and BERT. Along with the pre-trained word2vec we have computed domain specific word vectors too. Finally, by the utilization of XGBoost we have computed the category of student answer. The comparison of similarity between human evaluated category and category generated by all studied embedding technique along with XGBoost algorithm is computed with the help of Quadratic Weighted Kappa. The results have shown that domain specific embedding will help to predict correct category of student answer."
CONF,"A. A. S. Mukti, S. A. I. Alfarozi, S. S. Kusumawardani",,Transformers Based Automated Short Answer Grading with Contrastive Learning for Indonesian Language,26-27 Oct. 2023,2023,"The rapid development of technology has impacted various sectors, including education. These developments have enabled e-Learning to thrive, especially during the Covid-19 pandemic. Evaluating student performance and understanding in e-Learning is typically done through quizzes. However, these evaluations, especially in essay grading, still require manual effort. This can lead to exhaustion and introduce bias and inconsistency into the scoring process. To address this issue, one possible solution is to develop an automated short-answer grading system. This research explores large language model that has a general understanding of language. This model is then subjected to a finetuning process. Specifically, this study employs BERT model, with contrastive learning method to develop an automated short-answer scoring system and compare its performance with similar systems. The model is composed of two components, namely the model body which utilizes BERT variation and the model head which employs logistic regression. The model body is structured in a siamese architecture. The results demonstrate an improvement in model performance of BERT model with constrastive learning. When compared to the pretrained BERT and BERT with cosine similarity finetuning, the reduction in prediction MAE is 21.72% and 9.90%, while for the RMSE metric, it is 17.79% and 13.80%. The transformers-based model with contrastive learning achieves metrics of 0.191 for MAE and 0.231 for RMSE. These findings indicate the potential of using the contrastive learning method in transformers models to develop an automated short-answer scoring system."
CONF,"N. Kazi, I. Kahanda",,Enhancing Transfer Learning of LLMs through Fine- Tuning on Task - Related Corpora for Automated Short-Answer Grading,15-17 Dec. 2023,2023,"Automated short-answer grading (ASAG) is a cru-cial element of any intelligent tutoring platform. Machine Learning (ML) has shown great promise for ASAG. However, this task remains challenging even for Deep Learning (DL) approaches and Large Language Models (LLMs), requiring semantic inference and textual entailment recognition. The SemEval-2013 Task 7, The Joint Student Response Analysis and 8th Recognizing Textual Entailment Challenge, is a benchmark widely used for research on ASAG. The SciEntsBank data included in this collection contains nearly 11,000 answers to 197 assessment questions in 15 different science domains. Despite the popularity, only a few researchers have explored the potential of DL or LLMs for this task. In this project, we explore the effectiveness of the RoBERTa Large model, an LLM trained on an extensive text corpus for language comprehension. By fine-tuning the model on the Multi-Genre Natural Language Inference (MNLI) corpus for semantic inference and subsequently on the SciEntsBank dataset, with a focus on the 3-way labels of correct, incorrect, and contradictory, we achieved a weighted Fl-score of 0.77, 0.72, and 0.72 on unseen answers, questions, and domains, respectively. Notably, our model significantly benefits from fine-tuning on the MNLI corpus, particularly in enhancing its performance on the contradictory class (which constitutes only 10% of the dataset) through transfer learning leading to significant improvements on the more challenging test sets: unseen questions and unseen domains."
CONF,"A. Divya, V. Haridas, J. Narayanan",,Automation of Short Answer Grading Techniques: Comparative Study using Deep Learning Techniques,22-24 Feb. 2023,2023,"Automatic short answer grading (ASAG) techniques have been shown to cut down on the time and work needed to grade exams, and it is a method that is becoming more and more common, especially with the rise in popularity of online courses. This study compares the results of 7 pre-trained embedding models using just one feature to automatically grade brief responses: the similarity between the model answer's and the student answer's embeddings. Regression models are developed and evaluated to predict a short answer's score based on the similarities between all pairs of answers in the Mohler dataset. The predictions are evaluated by comparing the Root Mean Squared Error (RMSE) and Pearson correlation scores of each model."
JOUR,"A. Sahu, P. K. Bhowmick",,Feature Engineering and Ensemble-Based Approach for Improving Automatic Short-Answer Grading Performance,1 Jan.-March 2020,2020,"In this paper, we studied different automatic short answer grading (ASAG) systems to provide a comprehensive view of the feature spaces explored by previous works. While the performance reported in previous works have been encouraging, systematic study of the features is lacking. Apart from providing systematic feature space exploration, we also presented ensemble methods that have been experimentally validated to exhibit significantly higher grading performance over the existing papers in almost all the datasets in ASAG domain. A comparative study over different features and regression models toward short-answer grading has been performed with respect to evaluation metrics used in evaluating ASAG. Apart from traditional text similarity based features like WordNet similarity, latent semantic analysis, and others, we have introduced novel features like topic models suited for short text, relevance feedback based features. An ensemble-based model has been built using a combination of different regression models with an approach based on stacked regression. The proposed ASAG has been tested on the University of North Texas dataset for the regression task, whereas in case of classification task, the student response analysis (SRA) based ScientsBank and Beetle corpus have been used for evaluation. The grading performance in case of ensemble-based ASAG is highly boosted from that exhibited by an individual regression model. Extensive experimentation has revealed that feature selection, introduction of novel features, and regressor stacking have been instrumental in achieving considerable improvement in performance over the existing methods in ASAG domain."
CONF,"Z. H. Amur, Y. K. Hooi, G. M. Soomro",,Automatic Short Answer Grading (ASAG) using Attention-Based Deep Learning MODEL,1-2 Dec. 2022,2022,"In artificial intelligence, automatic short answer grading (ASAG) sparked the interest of many researchers. These Systems are used to evaluate the student's performance based on their intellectual and cognitive skills. Unfortunately, short answer grading poses various challenges to assess individual abilities. The first challenge, short sentences can be 10 to 20 words long. These short sentences include primary and secondary keywords, identifying such keywords is a challenge for syntactic processing. Furthermore, the order and relationship among the words affect the actual meaning of the answers. Answers provided by students may not be syntactically correct. The second challenge is different question types included in the short text: - factoid, descriptive, short, and long questions. Different question types influence the intent of the answer which affects the precision of grading accuracy. As a result, strategies for overcoming these problems in the assessment are required. In this study, we have proposed the attention-based deep learning model known as bidirectional encoder representation from a transformer (BERT) for the evaluation of short subjective answers. The measurement findings indicate that the BERT model is effective for automatic short answer grading."
CONF,"S. L. P, S. J. B",,A Hybrid Qualitative and Quantitative Approach for Automatic Short Answer Grading Using Classification Algorithms,21-23 Dec. 2022,2022,"Assessment plays a very important role in the teaching-learning process. Recently proposed techniques for short answer grading are either Qualitative or Quantitative. Qualitative methods use classification and give scores in an incomprehensible way like correct, incorrect, partially correct, etc., and Quantitative methods use Regression and MSE(Mean Square Error) which assigns scores like 2.3,4.2, etc. requires a learning method to convert those values to integers. In this paper, a hybrid Qualitative Quantitative approach is proposed which is based on machine learning that relies on Multi-class classification where each category of marks is considered as a class. This can be easily converted to qualitative or quantitative systems without additional learning methods. This system follows a model answer-based method where various similarities are extracted from both model and student answers including statistical, Bag of Words, TFIDF, Latent Semantic Analysis, and Neural sentence embedding based Infersent. Using these features various classification models are designed including K Nearest Neighbor, Naïve Bayes, Decision tree, SVM, Random Forest, and XGBoost for various test sizes of the data and cross-validations. The models are tested on a dataset that consists of one question, 80 answers, and a model answer. In total, 72 experiments are conducted, demonstrating that the proposed hybrid approach can be effectively applied to the Automatic Short Answer Grading (ASAG) task."
CONF,"M. A. Sayeed, D. Gupta",,Automate Descriptive Answer Grading using Reference based Models,14-16 Dec. 2022,2022,"Global universities are establishing institutional setups that offer a hybrid format of education. The next step of education is to maintain quality and flexibility, such as providing the option to convert online courses such as Massive Open Online Courses (MOOCS) to course credits. However, several universities are reluctant to completely transition to online-based education due to poor digital experience in educational tools. The available evaluation tools such as Multiple-choice answers (MCQ) aren't able to evaluate students holistically. In this study, research work aims for an improvised reference-based approach (utilizing student and reference answers) that evaluates descriptive answers with the Siamese architecture- Roberta bi-encoder based transformer models for Automated Short Answer Grading (ASAG). The architecture was designed considering ASAG tasks constrained to feasible compute resources. The research work presents the competitive performance of the models, further improvised with finetuning and hyperparameter optimization process on the benchmark SemEval-2013 2way task dataset."
JOUR,"X. Zhu, H. Wu, L. Zhang",,Automatic Short-Answer Grading via BERT-Based Deep Neural Networks,1 June 2022,2022,"Automatic short-answer grading (ASAG) is a key component of intelligent tutoring systems. Deep learning is an advanced method to deal with recognizing textual entailment tasks in an end-to-end manner. However, deep learning methods for ASAG still remain challenging mainly because of the following two major reasons: 1) high-precision scoring requires a deep understanding of the answer text; and 2) ASAG's corpus is usually small and cannot provide enough training data for deep learning. To address these challenges, in this article, we propose a novel bidirectional encoder representation from transformer (BERT)-based deep neural network framework for ASAG. First, we use a pretrained and fine-tuned BERT model to dynamically encode the answer text, which can effectively overcome the problem of a too small corpus in the ASAG task. Second, to generate a powerful semantic representation for ASAG, we construct a semantic refinement layer to refine the semantics of the BERT outputs, which consists of a bidirectional-Long Short-Term Memory (LSTM) network and a Capsule network with position information in parallel. Third, we propose a triple-hot loss strategy for regression tasks in ASAG, which changes the gold label representation in the standard cross-entropy loss function from one-hot to triple-hot. Experiments demonstrate that our proposed model is effective and outperforms most of the state-of-the-art systems on both the SemEval-2013 dataset and the Mohler dataset. The code is available online at https://github.com/wuhan-1222/ASAG."
JOUR,"C. N. Tulu, O. Ozkaya, U. Orhan",,Automatic Short Answer Grading With SemSpace Sense Vectors and MaLSTM,2021,2021,"Automatic assessment of exams is widely preferred by educators than multiple-choice exams because of its efficiency in measuring student performance, lack of subjectivity when evaluating student response, and faster evaluation time than the time consuming manual evaluation. In this study, a new approach for the Automatic Short Answer Grading (ASAG) is proposed using MaLSTM and the sense vectors obtained by SemSpace, a synset based sense embedding method built leveraging WordNet. Synset representations of the Student's answers and reference answers are given as input into parallel LSTM architecture, they are transformed into sentence representations in the hidden layer and the vectorial similarity of these two representation vectors are computed with Manhattan Similarity in the output layer. The proposed approach has been tested using the Mohler ASAG dataset and successful results are obtained in terms of Pearson (r) correlation and RMSE. Also, the proposed approach has been tested as a case study using a specific dataset (CU-NLP) created from the exam of the “Natural Language Processing” course in the Computer Engineering Department of Cukurova University. And it has achieved a successful correlation. The results obtained in the experiments show that the proposed system can be used efficiently and effectively in context-dependent ASAG tasks."
CONF,"A. A. P. Ratna, N. A. Wulandari, A. Kaltsum, I. Ibrahim, P. D. Purnamasari",,Answer Categorization Method Using K-Means for Indonesian Language Automatic Short Answer Grading System Based on Latent Semantic Analysis,22-24 July 2019,2019,"The Automatic Short Answer Grading (Simple-O) has been created for grading short answer with Bahasa Indonesia using K-Means and Latent Semantic Analysis (LSA) method. In this experiment, the text document feature will be extracted using Term Frequency-Inverse Document Frequency (TF-IDF) and then classified using K-Means. From the experiment, 149 documents are expected to be clustered into five classes. The result of the clustering using K-Means is 100% matched with clustering using human rater. The result of grading with LSA is 74%."
CONF,"A. K. -F. Lui, S. -c. Ng, S. W. -N. Cheung",,An Interactive Short Answer Grading System Based on Active Learning Models,6-8 May 2022,2022,Grading automation can improve learning experience with quick around-the-clock feedback and superior grading consistency. Obtaining annotated data for training short answer grading models is costly. Active learning has been proven an effective approach to build accurate models with few annotated data. This paper presents an active learning approach of short answer grading that comprises of a few novelties. The first is a specialized active learning formulation adapted to short answer grading principles. The second is a proposal to exploit human expertise in fine-tuning several active learning model parameters for adaptation to the specifics of each grading task. The third is an interactive short answer grading system that is designed for building better quality grading model by informing users with data visualizations. The prototype presented in the paper should provide a useful conceptual demonstration for real-life deployment of active learning for short answer grading and further research in an enhanced interactive form of active learning.
CONF,"A. Ahmed, A. Joorabchi, M. J. Hayes",,On the Application of Sentence Transformers to Automatic Short Answer Grading in Blended Assessment,9-10 June 2022,2022,"In Natural Language Processing, automatic short answer grading remains a necessary launch-pad for the analysis of human responses in a blended learning setting. This study presents pre-trained neural language models that use context dependent Sentence-Transformers to automatically grade student responses with two different input settings. It is found that the use of these models achieves promising results when compared to conventional Bidirectional Encoder Representation Transformer, (BERT), approaches when applying various text similarity-based tasks. This work presents experiments using the benchmark Mohler dataset to test these new models. In summary, an excellent Pearson Correlation score of 0.82 and a Root Mean Square Error of 0.69 is exhibited across a representative experiment sample size."
JOUR,"M. Putnikovic, J. Jovanovic",,Embeddings for Automatic Short Answer Grading: A Scoping Review,1 April 2023,2023,"Automatic grading of short answers is an important task in computer-assisted assessment (CAA). Recently, embeddings, as semantic-rich textual representations, have been increasingly used to represent short answers and predict the grade. Despite the recent trend of applying embeddings in automatic short answer grading (ASAG), there are no systematic reviews of literature reporting on their usage. Therefore, following the PRISMA-ScR guidelines, this scoping review summarizes relevant literature on the use of embeddings in ASAG, and reports on the current state of the art in that research area and on the identified knowledge gaps. We searched seven research databases for the relevant journal, conference, and workshop papers published from 2016 to 2021. The inclusion criteria were based on the type of publication, its venue ranking, study focus, and evaluation methods. Upon the full-text screening, 17 articles were included in the scoping review. Among these, most of the articles used word embeddings, mainly to estimate the similarity of student and model answers using the cosine similarity measure or to initialize a neural network-based classification model. The contribution of embeddings to the performance of ASAG models compared to nonembedding features is inconclusive. Models employing embeddings were mostly evaluated on four public ASAG datasets using earlier ASAG methods as baselines. We summarize the reported evaluation results and draw conclusions on the performance of the state-of-the-art ASAG models."
CONF,"M. Iqbal, R. Laili Udhiah, T. Rana Nugraha, H. -K. Pao",,ASAGeR: Automated Short Answer Grading Regressor via Sentence Simplification,1-2 Dec. 2023,2023,"We propose an automated short answer grading system (ASAG) to estimate the student answer scores via text summarization from LLMs. The step of text summarization provides enough question answer normalization so that the summarized answers have the answer keys well organized and the grading based on that should be more accurate and easier than before, no matter the answers are graded by human or automatic graders. On the other hand, we also discuss the scenario when more than one grader are involved in the grading but providing inconsistent scores. We adopt a majority voting mechanism to overcome such difficulty and produce superior result in average. Overall the proposed methodology has its evaluation done to show the superiority to other state-of-the-art methods. The pre-trained transformer version 3.5 (GPT 3.5) is used to serve the text summarization tool given a well-designed prompt."
